Title;Artist;Album;Year;Comment;Track;Genre
The Zoo;Scorpions;Acoustica;2001;                            ;1;12
Always Somewhere;Scorpions;Acoustica;2001;                            ;2;12
Life Is Too Short;Scorpions;Acoustica;2001;                            ;3;12
Holiday;Scorpions;Acoustica;2001;                            ;4;12
You And I;Scorpions;Acoustica;2001;                            ;5;12
When Love Kills Love;Scorpions;Acoustica;2001;                            ;6;12
Dust In The Wind;Scorpions;Acoustica;2001;                            ;7;12
Send Me An Angel;Scorpions;Acoustica;2001;                            ;8;12
Catch Your Train;Scorpions;Acoustica;2001;                            ;9;12
I Wanted To Cry (But The Tears;Scorpions;Acoustica;2001;                            ;10;12
Wind of Change;Scorpions;Acoustica;2001;                            ;11;12
Love Of My Life;Scorpions;Acoustica;2001;                            ;12;12
Drive;Scorpions;Acoustica;2001;                            ;13;12
Still Loving You;Scorpions;Acoustica;2001;                            ;14;12
Hurricane 2001;Scorpions;Acoustica;2001;                            ;15;12
Track 01;Sergio Godinho;Biografias do amor;2001;                            ;1;12
Track 02;Sergio Godinho;Biografias do amor;2001;                            ;2;12
Track 03;Sergio Godinho;Biografias do amor;2001;                            ;3;12
Track 04;Sergio Godinho;Biografias do amor;2001;                            ;4;12
Track 05;Sergio Godinho;Biografias do amor;2001;                            ;5;12
Track 06;Sergio Godinho;Biografias do amor;2001;                            ;6;12
Track 07;Sergio Godinho;Biografias do amor;2001;                            ;7;12
Track 08;Sergio Godinho;Biografias do amor;2001;                            ;8;12
Track 09;Sergio Godinho;Biografias do amor;2001;                            ;9;12
Track 10;Sergio Godinho;Biografias do amor;2001;                            ;10;12
Track 11;Sergio Godinho;Biografias do amor;2001;                            ;11;12
Track 12;Sergio Godinho;Biografias do amor;2001;                            ;12;12
Track 13;Sergio Godinho;Biografias do amor;2001;                            ;13;12
Track 14;Sergio Godinho;Biografias do amor;2001;                            ;14;12
Track 15;Sergio Godinho;Biografias do amor;2001;                            ;15;12
Track 16;Sergio Godinho;Biografias do amor;2001;                            ;16;12
Track 17;Sergio Godinho;Biografias do amor;2001;                            ;17;12
Track 18;Sergio Godinho;Biografias do amor;2001;                            ;18;12
Track 19;Sergio Godinho;Biografias do amor;2001;                            ;19;12
Track 20;Sergio Godinho;Biografias do amor;2001;                            ;20;12
The Beginning;Wojciech Kilar;Bram Stoker's Dracula;1992;;1;24
Vampire Hunters;Wojciech Kilar;Bram Stoker's Dracula;;;2;24
Mina's Photo;Wojciech Kilar;Bram Stoker's Dracula;;;3;24
Lucy's Party;Wojciech Kilar;Bram Stoker's Dracula;;;4;24
The Brides;Wojciech Kilar;Bram Stoker's Dracula;;;5;24
The Storm;Wojciech Kilar;Bram Stoker's Dracula;2000;Made with RealJukebox (tm);6;24
Love Remembered;Wojciech Kilar;Bram Stoker's Dracula;;;7;24
The Hunt Builds;Wojciech Kilar;Bram Stoker's Dracula;;;8;24
The Hunters Prelude;Wojciech Kilar;Bram Stoker's Dracula;;;9;24
The Green Mist;Wojciech Kilar;Bram Stoker's Dracula;;;10;24
11 Mina & Dracula;Wojciech Kilar;Bram Stoker's Dracula;1992;;11;24
The Ring Of Fire;Wojciech Kilar;Bram Stoker's Dracula;;;12;24
Love Eternal;Wojciech Kilar;Bram Stoker's Dracula;;;13;24
Ascension;Wojciech Kilar;Bram Stoker's Dracula;;;14;24
End Credits;Wojciech Kilar;Bram Stoker's Dracula;;;15;24
Love Song For A Vampire;Annie Lennox;Bram Stoker's Dracula;;;16;24
Progeny;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;, AG# D4AAF061;1;24
The Wheat;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;, AG# DE8507E0;2;24
The Battle;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;Hans Zimmer and Lisa Gerrard;3;24
Earth                         ;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;http://www.teamgay.com      ;4;24
Sorrow;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;5;24
To Zucchabar;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;6;24
Patricide;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;7;24
The Emperor Is Dead;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;, AG# E7102694;8;24
The Might Of Rome;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;9;24
Strength And Honor;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;10;24
Reunion;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;, AG# 4292A369;11;24
Slaves To Rome;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;12;24
Barbarian Horde;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;13;24
Am I Not Merciful;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;14;24
Elysium;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;#cMp3  irc.dal.net;15;24
Honor Him;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;2000;Made with RealJukebox (tm);16;24
Now We Are Free;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;17;24
Movie Theme;Hans Zimmer and Lisa Gerrard;Gladiator Soundtrack;;;;24
The Ground Beneath Her Feet   ;U2 With Special Guest Daniel L;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Never Let Me Go               ;Bono And The MDH Band         ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Stateless                     ;U2                            ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Satellite OF Love             ;Milla Jovovich With The MDH Ba;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Falling At Your Feet          ;Bono And Daniel Lanois        ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Tom Tom's Dream               ;The MDH Band                  ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
The First Time                ;U2                            ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Bathtub                       ;The MDH Band                  ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
The First Time (Reprise)      ;Daniel Lanois And The MDH Band;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Tom Tom's Room                ;Brad Mehldau With Bill Frisell;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
 Funny Face                   ;The MDH Band                  ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Dancin' Shoes                 ;Bono And The MDH Band         ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Amsterdam Blue (Cortege)      ;Jon Hassell, Gregg Arreguin, J;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Satellite OF Love (Reprise)   ;The MDH Band Featuring Daniel ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Satellite Of Love (Danny Saber;Milla Jovovich                ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Anarchy In The USA            ;Tito Larriva The MDH Band     ;Million Dollar Hotel (Soundtra;2000;http://mp3boy.yeah.net        ;;24
Nature Boy                    ;David Bowie                   ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;1;24
Lady Marmalade                ;Christina Aquilera Lil Kim Mya;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;2;24
Because We Can                ;Fatboy Slim                   ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;3;24
Sparkling Diamonds            ;Nicole Kidman and Others      ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;4;24
Rhythm of The Night           ;Valeria                       ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;5;24
Your Song                     ;Ewan McGregor and Alessandro S;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;6;24
Children Of The Revolution    ;Bono Gavin Friday And Maurice ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;7;24
One Day I'll Fly Away         ;Nicole Kidman                 ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;8;24
Diamond Dogs                  ;Beck                          ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;9;24
Elephant Love Song Medley     ;Nicole Kidman Ewan Mcgregor Ja;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;10;24
Come What May                 ;Nicole Kidman Ewan Mcgregor   ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;11;24
El Tango De Roxanne           ;Ewan Mcgregor Jose Feliciano J;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;12;24
Complainte De La Butte        ;Rufus Wainwright              ;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;13;24
Hindi Sad Diamonds;Joe Leguabe;Moulin Rouge [Original Soundtr;2001;                            ;14;24
Nature Boy                    ;David Bowie And Massive Attack;Moulin Rouge-OST              ;2001;ripped by Team RNS          ;15;24
Duduk of the North;Hans Zimmer;The Gladiator, More Music - So;2000;;1;24
Now We Are Free (Jubas Mix);Hans Zimmer;The Gladiator, More Music - So;2001;;2;24
The Protector Of Rome;Hans Zimmer;The Gladiator, More Music - So;;;3;24
Homecoming;Hans Zimmer;The Gladiator, More Music - So;;;4;24
The General Who Became A Slave;Hans Zimmer;The Gladiator, More Music - So;    ;;5;24
The Slave Who Became A Gladiat;Hans Zimmer;The Gladiator, More Music - So;;;6;24
Secrets;Hans Zimmer;The Gladiator, More Music - So;2001;;7;24
Rome is the Light;Hans Zimmer;The Gladiator, More Music - So;2001;;8;24
All that Remains;Hans Zimmer;The Gladiator, More Music - So;    ;;9;24
Maximus;Hans Zimmer;The Gladiator, More Music - So;2001;;10;24
Marrakesh Marketplace;Hans Zimmer;The Gladiator, More Music - So;2001;;11;24
The Gladiator Waltz;Hans Zimmer;The Gladiator, More Music - So;2001;;12;24
Figurines;Hans Zimmer;The Gladiator, More Music - So;2001;- REVOLUTiON -;13;24
The Mob;Hans Zimmer;The Gladiator, More Music - So;2001;;14;24
Busy Little Bee;Hans Zimmer;The Gladiator, More Music - So;2001;;15;24
Death Smiles At Us All;Hans Zimmer;The Gladiator, More Music - So;2001;;16;24
Not Yet;Hans Zimmer;The Gladiator, More Music - So;2001;;17;24
Now We Are Free (Maximus Mix);Hans Zimmer;The Gladiator, More Music - So;;;18;24
Main Title;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;1;79
Elk Hunt;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;2;79
The Kiss;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;3;79
The Glade Part II;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;4;79
Fort Battle;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;5;79
Promentory;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;6;79
Munro's Office-Stockade;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;7;79
Massacre-Canoes;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;8;79
Top Of The World;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;9;79
The Courier;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;10;79
Cora;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;11;79
River Walk And Discovery;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;12;79
Parlay;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;13;79
British Arrival;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;14;79
Pieces Of A Story;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;15;79
I Will Find You;Trevor Jones & Randy Edelman;The Last Of The Mohicans;1992;                            ;16;79
Main Titles;James Newton Howard;Waterworld Soundtrack;;;1;24
Escaping Smokers;James Newton Howard;Waterworld Soundtrack;    ;1c volume low;2;24
The Atoll;James Newton Howard;Waterworld Soundtrack;0;;3;24
Prodigal Child;James Newton Howard;Waterworld Soundtrack;;;4;24
Smokers Sighted;James Newton Howard;Waterworld Soundtrack;1995;;5;24
Swimming;James Newton Howard;Waterworld Soundtrack;;;6;24
The Skyboat;James Newton Howard;Waterworld Soundtrack;1995;;7;24
National Geographics;James Newton Howard;Waterworld Soundtrack;;Created with Jukka Poikolain;8;24
Speargun;James Newton Howard;Waterworld Soundtrack;;;9;24
The Bubble;James Newton Howard;Waterworld Soundtrack;;;10;24
Helen Frees The Marin;James Newton Howard;Waterworld Soundtrack;;;11;24
Helen Sews;James Newton Howard;Waterworld Soundtrack;;;12;24
Slide For Life;James Newton Howard;Waterworld Soundtrack;;;13;24
Half An Hour;James Newton Howard;Waterworld Soundtrack;;Made with RealJukebox (tm);14;24
We're Gonna Die;James Newton Howard;Waterworld Soundtrack;;;15;24
Arriving At The Deez;James Newton Howard;Waterworld Soundtrack;;;16;24
Deacon's Speech;James Newton Howard;Waterworld Soundtrack;1995;;17;24
Haircuts;James Newton Howard;Waterworld Soundtrack;;;18;24
Gills;James Newton Howard;Waterworld Soundtrack;1995;;19;24
Why Aren't You Rowing;James Newton Howard;Waterworld Soundtrack;;;20;24
Balloon Flight;James Newton Howard;Waterworld Soundtrack;;;21;24
Dry Land;James Newton Howard;Waterworld Soundtrack;;;22;24
Mariner's Goodbye;James Newton Howard;Waterworld Soundtrack;2000;;23;24
Main Credits;James Newton Howard;Waterworld Soundtrack;;Created with Jukka Poikolain;24;24
;James Newton Howard;Waterworld Soundtrack;;;;24
Beautiful Day;U2;All That You Cant Leave Behind;2000;                            ;1;17
Elevation;U2;All That You Cant Leave Behind;2000;                            ;2;17
Walk On;U2;All That You Cant Leave Behind;2000;                            ;3;17
Stuck In A Moment;U2;All That You Cant Leave Behind;2000;                            ;4;17
Peace On Earth;U2;All That You Cant Leave Behind;2000;                            ;5;17
Kite;U2;All That You Cant Leave Behind;2000;                            ;6;17
New York;U2;All That You Cant Leave Behind;2000;                            ;7;17
In A Little While;U2;All That You Cant Leave Behind;2000;                            ;8;17
Wild Honey;U2;All That You Cant Leave Behind;2000;                            ;9;17
When I Look At The World      ;U2                            ;All That You Cant Leave Behind;2000;                              ;;17
Grace                         ;U2                            ;All That You Cant Leave Behind;2000;                              ;;17
01- U2 - Beautiful Day;U2;All That You Cant Leave Behind;;                              ;;17
Stuck In A Moment;U2;All That You Cant Leave Behind;2000;                              ;;17
Elevation;U2;All That You Cant Leave Behind;2000;                              ;;17
Walk On;U2;All That You Cant Leave Behind;2000;                              ;;17
Kite;U2;All That You Cant Leave Behind;2000;                              ;;17
In A Little While;U2;All That You Cant Leave Behind;2000;                              ;;17
Wild Honey;U2;All That You Cant Leave Behind;2000;                              ;;17
Peace On Earth;U2;All That You Cant Leave Behind;2000;                              ;;17
When I Look At The World;U2;All That You Cant Leave Behind;2000;                              ;;17
New York;U2;All That You Cant Leave Behind;2000;                              ;;17
Grace;U2;All That You Cant Leave Behind;2000;                              ;;17
Um Amor Infinito;Madredeus;Um Amor Infinito;2004;                            ;4;12
